date,month,year,category,supersector,employment
7/31/1990,Jul,1990,Service-Providing,Leisure and Hospitality,101.1
7/31/1990,Jul,1990,Service-Providing,Professional and Business Services,69.8
7/31/1990,Jul,1990,Service-Providing,Financial Activities,69.8
7/31/1990,Jul,1990,Service-Providing,Information,29.8
7/31/1990,Jul,1990,Service-Providing,Retail Trade,161.4
8/31/1990,Aug,1990,Goods-Producing,Construction,45.3
8/31/1990,Aug,1990,Goods-Producing,Mining and Logging,2
8/31/1990,Aug,1990,Goods-Producing,Manufacturing,218.4
8/31/1990,Aug,1990,Government,Local Government,138.3
8/31/1990,Aug,1990,Government,Federal Government,20.7
8/31/1990,Aug,1990,Government,State Government,60.4
8/31/1990,Aug,1990,Service-Providing,Transportation and Utilities,44.8
8/31/1990,Aug,1990,Service-Providing,Information,30
8/31/1990,Aug,1990,Service-Providing,Professional and Business Services,70
8/31/1990,Aug,1990,Service-Providing,Other Services,55.7
8/31/1990,Aug,1990,Service-Providing,Leisure and Hospitality,101.2
8/31/1990,Aug,1990,Service-Providing,Retail Trade,162
8/31/1990,Aug,1990,Service-Providing,Wholesale Trade,63.5
8/31/1990,Aug,1990,Service-Providing,Financial Activities,69.8
8/31/1990,Aug,1990,Service-Providing,Education and Health Services,147.5
9/30/1990,Sep,1990,Goods-Producing,Manufacturing,220.3
9/30/1990,Sep,1990,Goods-Producing,Construction,45.8
9/30/1990,Sep,1990,Goods-Producing,Mining and Logging,2
9/30/1990,Sep,1990,Government,State Government,60.2
9/30/1990,Sep,1990,Government,Federal Government,20.3
9/30/1990,Sep,1990,Government,Local Government,139.1
9/30/1990,Sep,1990,Service-Providing,Financial Activities,69.9
9/30/1990,Sep,1990,Service-Providing,Education and Health Services,148.6
9/30/1990,Sep,1990,Service-Providing,Wholesale Trade,64.1
9/30/1990,Sep,1990,Service-Providing,Other Services,55.7
9/30/1990,Sep,1990,Service-Providing,Leisure and Hospitality,101.7
9/30/1990,Sep,1990,Service-Providing,Transportation and Utilities,44.9
9/30/1990,Sep,1990,Service-Providing,Professional and Business Services,69.8
9/30/1990,Sep,1990,Service-Providing,Information,30.2
9/30/1990,Sep,1990,Service-Providing,Retail Trade,162.7
10/31/1990,Oct,1990,Goods-Producing,Manufacturing,219.7
10/31/1990,Oct,1990,Goods-Producing,Mining and Logging,2
10/31/1990,Oct,1990,Goods-Producing,Construction,45.7
10/31/1990,Oct,1990,Government,State Government,60.2
10/31/1990,Oct,1990,Government,Federal Government,19.9
10/31/1990,Oct,1990,Government,Local Government,138
10/31/1990,Oct,1990,Service-Providing,Financial Activities,70
10/31/1990,Oct,1990,Service-Providing,Education and Health Services,148.4
10/31/1990,Oct,1990,Service-Providing,Wholesale Trade,64.8
10/31/1990,Oct,1990,Service-Providing,Transportation and Utilities,44.6
10/31/1990,Oct,1990,Service-Providing,Information,30
10/31/1990,Oct,1990,Service-Providing,Other Services,55.9
10/31/1990,Oct,1990,Service-Providing,Leisure and Hospitality,102
10/31/1990,Oct,1990,Service-Providing,Professional and Business Services,69.8
10/31/1990,Oct,1990,Service-Providing,Retail Trade,162.7
11/30/1990,Nov,1990,Goods-Producing,Construction,45.9
11/30/1990,Nov,1990,Goods-Producing,Mining and Logging,2.1
11/30/1990,Nov,1990,Goods-Producing,Manufacturing,218.9
11/30/1990,Nov,1990,Government,Local Government,137.7
11/30/1990,Nov,1990,Government,State Government,60.2
11/30/1990,Nov,1990,Government,Federal Government,20.2
11/30/1990,Nov,1990,Service-Providing,Leisure and Hospitality,102.7
11/30/1990,Nov,1990,Service-Providing,Information,29.9
11/30/1990,Nov,1990,Service-Providing,Professional and Business Services,69.9
11/30/1990,Nov,1990,Service-Providing,Other Services,56.1
11/30/1990,Nov,1990,Service-Providing,Transportation and Utilities,44.7
11/30/1990,Nov,1990,Service-Providing,Education and Health Services,149
11/30/1990,Nov,1990,Service-Providing,Wholesale Trade,64
11/30/1990,Nov,1990,Service-Providing,Retail Trade,163
11/30/1990,Nov,1990,Service-Providing,Financial Activities,70.1
12/31/1990,Dec,1990,Goods-Producing,Construction,46.2
12/31/1990,Dec,1990,Goods-Producing,Manufacturing,217.4
12/31/1990,Dec,1990,Goods-Producing,Mining and Logging,2
12/31/1990,Dec,1990,Government,Federal Government,20.2
12/31/1990,Dec,1990,Government,State Government,59.9
12/31/1990,Dec,1990,Government,Local Government,137.8
12/31/1990,Dec,1990,Service-Providing,Other Services,56
12/31/1990,Dec,1990,Service-Providing,Leisure and Hospitality,103.3
12/31/1990,Dec,1990,Service-Providing,Education and Health Services,149.3
12/31/1990,Dec,1990,Service-Providing,Retail Trade,162.8
12/31/1990,Dec,1990,Service-Providing,Wholesale Trade,64
12/31/1990,Dec,1990,Service-Providing,Financial Activities,70.1
12/31/1990,Dec,1990,Service-Providing,Professional and Business Services,70.2
12/31/1990,Dec,1990,Service-Providing,Transportation and Utilities,44.7
12/31/1990,Dec,1990,Service-Providing,Information,29.7
1/31/1991,Jan,1991,Goods-Producing,Mining and Logging,1.9
1/31/1991,Jan,1991,Goods-Producing,Construction,45.8
1/31/1991,Jan,1991,Goods-Producing,Manufacturing,217.5
1/31/1991,Jan,1991,Government,Federal Government,20.3
1/31/1991,Jan,1991,Government,State Government,60.4
1/31/1991,Jan,1991,Government,Local Government,138.7
1/31/1991,Jan,1991,Service-Providing,Leisure and Hospitality,101.2
1/31/1991,Jan,1991,Service-Providing,Transportation and Utilities,44.7
1/31/1991,Jan,1991,Service-Providing,Wholesale Trade,63.6
1/31/1991,Jan,1991,Service-Providing,Financial Activities,70.6
1/31/1991,Jan,1991,Service-Providing,Retail Trade,163.2
1/31/1991,Jan,1991,Service-Providing,Other Services,56.3
1/31/1991,Jan,1991,Service-Providing,Information,29.7
1/31/1991,Jan,1991,Service-Providing,Professional and Business Services,70.1
1/31/1991,Jan,1991,Service-Providing,Education and Health Services,149.7
2/28/1991,Feb,1991,Goods-Producing,Construction,45.4
2/28/1991,Feb,1991,Goods-Producing,Manufacturing,216.5
2/28/1991,Feb,1991,Goods-Producing,Mining and Logging,2
2/28/1991,Feb,1991,Government,Federal Government,20.3
2/28/1991,Feb,1991,Government,State Government,61.5
2/28/1991,Feb,1991,Government,Local Government,139.4
2/28/1991,Feb,1991,Service-Providing,Professional and Business Services,70.2
2/28/1991,Feb,1991,Service-Providing,Information,29.7
2/28/1991,Feb,1991,Service-Providing,Transportation and Utilities,44.6
2/28/1991,Feb,1991,Service-Providing,Leisure and Hospitality,100.8
2/28/1991,Feb,1991,Service-Providing,Other Services,56.1
2/28/1991,Feb,1991,Service-Providing,Education and Health Services,150.3
2/28/1991,Feb,1991,Service-Providing,Retail Trade,162.2
2/28/1991,Feb,1991,Service-Providing,Financial Activities,70.8
2/28/1991,Feb,1991,Service-Providing,Wholesale Trade,63.5
3/31/1991,Mar,1991,Goods-Producing,Mining and Logging,1.9
3/31/1991,Mar,1991,Goods-Producing,Construction,45.7
3/31/1991,Mar,1991,Goods-Producing,Manufacturing,216.4
3/31/1991,Mar,1991,Government,Local Government,140
3/31/1991,Mar,1991,Government,State Government,60.1
3/31/1991,Mar,1991,Government,Federal Government,20.4
3/31/1991,Mar,1991,Service-Providing,Transportation and Utilities,44.7
3/31/1991,Mar,1991,Service-Providing,Information,29.6
3/31/1991,Mar,1991,Service-Providing,Professional and Business Services,70
3/31/1991,Mar,1991,Service-Providing,Wholesale Trade,63.6
3/31/1991,Mar,1991,Service-Providing,Financial Activities,71.3
3/31/1991,Mar,1991,Service-Providing,Retail Trade,161.8
3/31/1991,Mar,1991,Service-Providing,Leisure and Hospitality,101.5
3/31/1991,Mar,1991,Service-Providing,Other Services,56.2
3/31/1991,Mar,1991,Service-Providing,Education and Health Services,150.7
4/30/1991,Apr,1991,Goods-Producing,Manufacturing,216.6
4/30/1991,Apr,1991,Goods-Producing,Mining and Logging,2
4/30/1991,Apr,1991,Goods-Producing,Construction,45.9
4/30/1991,Apr,1991,Government,Federal Government,20.4
4/30/1991,Apr,1991,Government,Local Government,139.4
4/30/1991,Apr,1991,Government,State Government,59.9
4/30/1991,Apr,1991,Service-Providing,Education and Health Services,150.9
4/30/1991,Apr,1991,Service-Providing,Wholesale Trade,63.8
4/30/1991,Apr,1991,Service-Providing,Retail Trade,161.6
4/30/1991,Apr,1991,Service-Providing,Leisure and Hospitality,103
4/30/1991,Apr,1991,Service-Providing,Transportation and Utilities,44.7
4/30/1991,Apr,1991,Service-Providing,Financial Activities,70.9
4/30/1991,Apr,1991,Service-Providing,Information,29.5
4/30/1991,Apr,1991,Service-Providing,Professional and Business Services,70.3
4/30/1991,Apr,1991,Service-Providing,Other Services,56.2
5/31/1991,May,1991,Goods-Producing,Mining and Logging,2
5/31/1991,May,1991,Goods-Producing,Construction,45.5
5/31/1991,May,1991,Goods-Producing,Manufacturing,216.4
5/31/1991,May,1991,Government,Local Government,139.9
5/31/1991,May,1991,Government,State Government,59.8
5/31/1991,May,1991,Government,Federal Government,20.4
5/31/1991,May,1991,Service-Providing,Transportation and Utilities,44.7
5/31/1991,May,1991,Service-Providing,Other Services,56.1
5/31/1991,May,1991,Service-Providing,Leisure and Hospitality,103
5/31/1991,May,1991,Service-Providing,Information,29.4
5/31/1991,May,1991,Service-Providing,Financial Activities,71.2
5/31/1991,May,1991,Service-Providing,Education and Health Services,151.3
5/31/1991,May,1991,Service-Providing,Wholesale Trade,63.9
5/31/1991,May,1991,Service-Providing,Professional and Business Services,70.3
5/31/1991,May,1991,Service-Providing,Retail Trade,161.4
6/30/1991,Jun,1991,Goods-Producing,Construction,45.7
6/30/1991,Jun,1991,Goods-Producing,Manufacturing,215.5
6/30/1991,Jun,1991,Goods-Producing,Mining and Logging,2
6/30/1991,Jun,1991,Government,State Government,59.9
6/30/1991,Jun,1991,Government,Local Government,139.5
6/30/1991,Jun,1991,Government,Federal Government,20.8
6/30/1991,Jun,1991,Service-Providing,Professional and Business Services,70.7
6/30/1991,Jun,1991,Service-Providing,Leisure and Hospitality,103.7
6/30/1991,Jun,1991,Service-Providing,Education and Health Services,151.9
6/30/1991,Jun,1991,Service-Providing,Other Services,56.1
6/30/1991,Jun,1991,Service-Providing,Transportation and Utilities,44.7
6/30/1991,Jun,1991,Service-Providing,Wholesale Trade,64.2
6/30/1991,Jun,1991,Service-Providing,Retail Trade,161.7
6/30/1991,Jun,1991,Service-Providing,Financial Activities,71.6
6/30/1991,Jun,1991,Service-Providing,Information,29.4
7/31/1991,Jul,1991,Goods-Producing,Mining and Logging,2
7/31/1991,Jul,1991,Goods-Producing,Manufacturing,217.6
7/31/1991,Jul,1991,Goods-Producing,Construction,46.1
7/31/1991,Jul,1991,Government,Federal Government,20.5
7/31/1991,Jul,1991,Government,State Government,59.9
7/31/1991,Jul,1991,Government,Local Government,142.1
7/31/1991,Jul,1991,Service-Providing,Other Services,56.2
7/31/1991,Jul,1991,Service-Providing,Wholesale Trade,64.1
7/31/1991,Jul,1991,Service-Providing,Financial Activities,71.6
7/31/1991,Jul,1991,Service-Providing,Professional and Business Services,71.1
7/31/1991,Jul,1991,Service-Providing,Leisure and Hospitality,104.4
7/31/1991,Jul,1991,Service-Providing,Information,28.1
7/31/1991,Jul,1991,Service-Providing,Education and Health Services,151.7
7/31/1991,Jul,1991,Service-Providing,Transportation and Utilities,44.6
7/31/1991,Jul,1991,Service-Providing,Retail Trade,162.2
8/31/1991,Aug,1991,Goods-Producing,Manufacturing,215.4
8/31/1991,Aug,1991,Goods-Producing,Construction,46
8/31/1991,Aug,1991,Goods-Producing,Mining and Logging,2
8/31/1991,Aug,1991,Government,State Government,59.5
8/31/1991,Aug,1991,Government,Federal Government,20.4
8/31/1991,Aug,1991,Government,Local Government,142.8
8/31/1991,Aug,1991,Service-Providing,Professional and Business Services,70.4
8/31/1991,Aug,1991,Service-Providing,Education and Health Services,152.4
8/31/1991,Aug,1991,Service-Providing,Information,28.2
8/31/1991,Aug,1991,Service-Providing,Financial Activities,72
8/31/1991,Aug,1991,Service-Providing,Retail Trade,162.3
8/31/1991,Aug,1991,Service-Providing,Transportation and Utilities,44.6
8/31/1991,Aug,1991,Service-Providing,Wholesale Trade,64.1
8/31/1991,Aug,1991,Service-Providing,Leisure and Hospitality,104.5
8/31/1991,Aug,1991,Service-Providing,Other Services,56.2
9/30/1991,Sep,1991,Goods-Producing,Manufacturing,217.4
9/30/1991,Sep,1991,Goods-Producing,Mining and Logging,2
9/30/1991,Sep,1991,Goods-Producing,Construction,45.9
9/30/1991,Sep,1991,Government,Local Government,140.5
9/30/1991,Sep,1991,Government,Federal Government,20.4
9/30/1991,Sep,1991,Government,State Government,59.3
9/30/1991,Sep,1991,Service-Providing,Other Services,56.3
9/30/1991,Sep,1991,Service-Providing,Information,28.3
9/30/1991,Sep,1991,Service-Providing,Education and Health Services,153.1
9/30/1991,Sep,1991,Service-Providing,Financial Activities,72.3
9/30/1991,Sep,1991,Service-Providing,Professional and Business Services,70.8
9/30/1991,Sep,1991,Service-Providing,Leisure and Hospitality,105.3
9/30/1991,Sep,1991,Service-Providing,Wholesale Trade,64.4
9/30/1991,Sep,1991,Service-Providing,Retail Trade,162.3
9/30/1991,Sep,1991,Service-Providing,Transportation and Utilities,44.6
10/31/1991,Oct,1991,Goods-Producing,Construction,46.1
10/31/1991,Oct,1991,Goods-Producing,Manufacturing,216
10/31/1991,Oct,1991,Goods-Producing,Mining and Logging,2
10/31/1991,Oct,1991,Government,Federal Government,20.4
10/31/1991,Oct,1991,Government,State Government,59
10/31/1991,Oct,1991,Government,Local Government,141
10/31/1991,Oct,1991,Service-Providing,Other Services,56.1
10/31/1991,Oct,1991,Service-Providing,Financial Activities,71.3
10/31/1991,Oct,1991,Service-Providing,Leisure and Hospitality,104.8
10/31/1991,Oct,1991,Service-Providing,Transportation and Utilities,44.3
10/31/1991,Oct,1991,Service-Providing,Retail Trade,162.4
10/31/1991,Oct,1991,Service-Providing,Wholesale Trade,64.4
10/31/1991,Oct,1991,Service-Providing,Information,29
10/31/1991,Oct,1991,Service-Providing,Education and Health Services,153.6
10/31/1991,Oct,1991,Service-Providing,Professional and Business Services,71
11/30/1991,Nov,1991,Goods-Producing,Mining and Logging,2
11/30/1991,Nov,1991,Goods-Producing,Manufacturing,215.4
11/30/1991,Nov,1991,Goods-Producing,Construction,44.9
11/30/1991,Nov,1991,Government,State Government,59
11/30/1991,Nov,1991,Government,Federal Government,20.5
11/30/1991,Nov,1991,Government,Local Government,141.3
11/30/1991,Nov,1991,Service-Providing,Information,28.8
11/30/1991,Nov,1991,Service-Providing,Retail Trade,162.7
11/30/1991,Nov,1991,Service-Providing,Professional and Business Services,71.3
11/30/1991,Nov,1991,Service-Providing,Financial Activities,71.5
11/30/1991,Nov,1991,Service-Providing,Other Services,55.9
11/30/1991,Nov,1991,Service-Providing,Education and Health Services,153.8
11/30/1991,Nov,1991,Service-Providing,Transportation and Utilities,44.2
11/30/1991,Nov,1991,Service-Providing,Wholesale Trade,64.3
11/30/1991,Nov,1991,Service-Providing,Leisure and Hospitality,104.5
12/31/1991,Dec,1991,Goods-Producing,Construction,45.5
12/31/1991,Dec,1991,Goods-Producing,Manufacturing,215.6
12/31/1991,Dec,1991,Goods-Producing,Mining and Logging,2
12/31/1991,Dec,1991,Government,State Government,58.6
12/31/1991,Dec,1991,Government,Local Government,141.4
12/31/1991,Dec,1991,Government,Federal Government,20.3
12/31/1991,Dec,1991,Service-Providing,Education and Health Services,154.4
12/31/1991,Dec,1991,Service-Providing,Transportation and Utilities,44.4
12/31/1991,Dec,1991,Service-Providing,Wholesale Trade,64.1
12/31/1991,Dec,1991,Service-Providing,Information,28.8
12/31/1991,Dec,1991,Service-Providing,Leisure and Hospitality,104.6
12/31/1991,Dec,1991,Service-Providing,Other Services,56.2
12/31/1991,Dec,1991,Service-Providing,Retail Trade,162.6
12/31/1991,Dec,1991,Service-Providing,Professional and Business Services,72
12/31/1991,Dec,1991,Service-Providing,Financial Activities,71.8
1/31/1992,Jan,1992,Goods-Producing,Mining and Logging,2
1/31/1992,Jan,1992,Goods-Producing,Construction,47.4
1/31/1992,Jan,1992,Goods-Producing,Manufacturing,213.1
1/31/1992,Jan,1992,Government,State Government,58.8
1/31/1992,Jan,1992,Government,Local Government,141.5
1/31/1992,Jan,1992,Government,Federal Government,20.7
1/31/1992,Jan,1992,Service-Providing,Professional and Business Services,71.8
1/31/1992,Jan,1992,Service-Providing,Retail Trade,162.6
1/31/1992,Jan,1992,Service-Providing,Financial Activities,71.4
1/31/1992,Jan,1992,Service-Providing,Information,28.7
1/31/1992,Jan,1992,Service-Providing,Education and Health Services,155.3
1/31/1992,Jan,1992,Service-Providing,Transportation and Utilities,45.8
1/31/1992,Jan,1992,Service-Providing,Wholesale Trade,64.4
1/31/1992,Jan,1992,Service-Providing,Other Services,56.4
1/31/1992,Jan,1992,Service-Providing,Leisure and Hospitality,104.7
2/28/1992,Feb,1992,Goods-Producing,Construction,47.7
2/28/1992,Feb,1992,Goods-Producing,Mining and Logging,2.1
2/28/1992,Feb,1992,Goods-Producing,Manufacturing,215.5
2/28/1992,Feb,1992,Government,Federal Government,20.4
2/28/1992,Feb,1992,Government,State Government,58.6
2/28/1992,Feb,1992,Government,Local Government,141.7
2/28/1992,Feb,1992,Service-Providing,Retail Trade,163
2/28/1992,Feb,1992,Service-Providing,Information,28.8
2/28/1992,Feb,1992,Service-Providing,Transportation and Utilities,45.8
2/28/1992,Feb,1992,Service-Providing,Professional and Business Services,72.1
2/28/1992,Feb,1992,Service-Providing,Financial Activities,71.6
2/28/1992,Feb,1992,Service-Providing,Leisure and Hospitality,104.8
2/28/1992,Feb,1992,Service-Providing,Education and Health Services,155.3
2/28/1992,Feb,1992,Service-Providing,Wholesale Trade,64.5
2/28/1992,Feb,1992,Service-Providing,Other Services,56.4
3/31/1992,Mar,1992,Goods-Producing,Manufacturing,215.2
3/31/1992,Mar,1992,Goods-Producing,Construction,48.2
3/31/1992,Mar,1992,Goods-Producing,Mining and Logging,2
3/31/1992,Mar,1992,Government,Local Government,141.5
3/31/1992,Mar,1992,Government,State Government,58.5
3/31/1992,Mar,1992,Government,Federal Government,20.4
3/31/1992,Mar,1992,Service-Providing,Leisure and Hospitality,105
3/31/1992,Mar,1992,Service-Providing,Retail Trade,163.3
3/31/1992,Mar,1992,Service-Providing,Education and Health Services,155.6
3/31/1992,Mar,1992,Service-Providing,Information,28.9
3/31/1992,Mar,1992,Service-Providing,Transportation and Utilities,45.6
3/31/1992,Mar,1992,Service-Providing,Professional and Business Services,72.1
3/31/1992,Mar,1992,Service-Providing,Financial Activities,71.8
3/31/1992,Mar,1992,Service-Providing,Other Services,56.3
3/31/1992,Mar,1992,Service-Providing,Wholesale Trade,64.5
4/30/1992,Apr,1992,Goods-Producing,Construction,48
4/30/1992,Apr,1992,Goods-Producing,Manufacturing,215.6
4/30/1992,Apr,1992,Goods-Producing,Mining and Logging,2
4/30/1992,Apr,1992,Government,Local Government,141.8
4/30/1992,Apr,1992,Government,State Government,58.7
4/30/1992,Apr,1992,Government,Federal Government,20.3
4/30/1992,Apr,1992,Service-Providing,Retail Trade,163.3
4/30/1992,Apr,1992,Service-Providing,Education and Health Services,155.8
4/30/1992,Apr,1992,Service-Providing,Financial Activities,72
4/30/1992,Apr,1992,Service-Providing,Information,29
4/30/1992,Apr,1992,Service-Providing,Other Services,56.3
4/30/1992,Apr,1992,Service-Providing,Transportation and Utilities,45.8
4/30/1992,Apr,1992,Service-Providing,Wholesale Trade,64.4
4/30/1992,Apr,1992,Service-Providing,Leisure and Hospitality,103.7
4/30/1992,Apr,1992,Service-Providing,Professional and Business Services,72.9
5/31/1992,May,1992,Goods-Producing,Construction,48.2
5/31/1992,May,1992,Goods-Producing,Manufacturing,216.1
5/31/1992,May,1992,Goods-Producing,Mining and Logging,2
5/31/1992,May,1992,Government,State Government,58.5
5/31/1992,May,1992,Government,Local Government,141.9
5/31/1992,May,1992,Government,Federal Government,20.1
5/31/1992,May,1992,Service-Providing,Professional and Business Services,73
5/31/1992,May,1992,Service-Providing,Transportation and Utilities,46.1
5/31/1992,May,1992,Service-Providing,Retail Trade,163.5
5/31/1992,May,1992,Service-Providing,Other Services,56.4
5/31/1992,May,1992,Service-Providing,Education and Health Services,156.3
5/31/1992,May,1992,Service-Providing,Information,29.2
5/31/1992,May,1992,Service-Providing,Financial Activities,72.3
5/31/1992,May,1992,Service-Providing,Wholesale Trade,64.2
5/31/1992,May,1992,Service-Providing,Leisure and Hospitality,104.3
6/30/1992,Jun,1992,Goods-Producing,Construction,47.6
6/30/1992,Jun,1992,Goods-Producing,Manufacturing,216.4
6/30/1992,Jun,1992,Goods-Producing,Mining and Logging,2
6/30/1992,Jun,1992,Government,State Government,58.1
6/30/1992,Jun,1992,Government,Federal Government,20.3
6/30/1992,Jun,1992,Government,Local Government,143.9
6/30/1992,Jun,1992,Service-Providing,Retail Trade,163.5
6/30/1992,Jun,1992,Service-Providing,Professional and Business Services,72.3
6/30/1992,Jun,1992,Service-Providing,Leisure and Hospitality,104.2
6/30/1992,Jun,1992,Service-Providing,Education and Health Services,156.6
6/30/1992,Jun,1992,Service-Providing,Transportation and Utilities,46.1
6/30/1992,Jun,1992,Service-Providing,Financial Activities,72.4
6/30/1992,Jun,1992,Service-Providing,Information,29.2
6/30/1992,Jun,1992,Service-Providing,Other Services,56.4
6/30/1992,Jun,1992,Service-Providing,Wholesale Trade,64
7/31/1992,Jul,1992,Goods-Producing,Mining and Logging,2
7/31/1992,Jul,1992,Goods-Producing,Manufacturing,216.8
7/31/1992,Jul,1992,Goods-Producing,Construction,47.6
